entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
1.13715,1.13987,0.04991,150,229,0.13583,27.21284,take_profit
1.14091,1.14364,0.04993,230,236,0.13634,27.3078,take_profit
1.14397,1.14673,0.0499,237,240,0.13794,27.64138,take_profit
1.14722,1.15,0.04991,241,249,0.13859,27.77149,take_profit
1.15147,1.15426,0.04991,255,271,0.13945,27.94046,take_profit
1.15075,1.14928,0.04985,325,338,-0.07323,-14.69203,stop_loss
1.15361,1.15213,0.04533,349,362,-0.06691,-14.75875,stop_loss
1.13582,1.13436,0.04535,424,425,-0.06636,-14.63413,stop_loss
1.13341,1.13621,0.04537,426,432,0.12705,28.00706,take_profit
1.13323,1.13601,0.04995,487,488,0.13886,27.8004,take_profit
1.13157,1.1343,0.04991,516,531,0.13622,27.29273,take_profit
1.13824,1.13877,0.04992,560,573,0.02646,5.3,model_exit
1.13599,1.13454,0.04982,709,719,-0.07205,-14.46269,stop_loss
1.14196,1.1405,0.04531,807,818,-0.06626,-14.62474,stop_loss
1.13262,1.13117,0.04534,996,1013,-0.06595,-14.54517,stop_loss
1.12879,1.13152,0.0454,1029,1040,0.12408,27.33196,take_profit
1.13127,1.134,0.04998,1231,1238,0.13633,27.27774,take_profit
1.12994,1.1314,0.04995,1271,1291,0.07293,14.6,model_exit
1.12881,1.13152,0.04993,1301,1312,0.13514,27.06764,take_profit
1.13049,1.13322,0.04988,1476,1500,0.13615,27.29509,take_profit
1.12247,1.12297,0.0499,1552,1560,0.02495,5.0,model_exit
1.12238,1.12096,0.04988,1572,1592,-0.07104,-14.24296,stop_loss
1.12039,1.12311,0.04533,1668,1676,0.12338,27.21559,take_profit
1.11039,1.11311,0.04992,1710,1715,0.13555,27.1524,take_profit
1.10901,1.1076,0.04993,1721,1722,-0.07062,-14.14603,stop_loss
1.10792,1.11064,0.04946,1723,1727,0.13437,27.1655,take_profit
1.10672,1.1094,0.04994,1753,1760,0.13382,26.79597,take_profit
1.10888,1.11155,0.04995,1762,1791,0.13357,26.74244,take_profit
1.11115,1.11381,0.04992,1792,1829,0.13285,26.60906,take_profit
1.11454,1.11723,0.04991,1830,1838,0.13421,26.89053,take_profit
1.11747,1.12017,0.04991,1839,1902,0.13488,27.02423,take_profit
1.12262,1.12534,0.04991,1904,1909,0.13562,27.17466,take_profit
1.11749,1.12017,0.04989,1956,1993,0.13376,26.80938,take_profit
1.11843,1.12112,0.04992,2046,2086,0.13428,26.89816,take_profit
1.12172,1.12031,0.04993,2089,2096,-0.07047,-14.11381,stop_loss
1.11398,1.11669,0.04533,2127,2148,0.12275,27.07638,take_profit
1.11789,1.12057,0.04574,2149,2186,0.12265,26.81235,take_profit
1.12087,1.12356,0.04995,2187,2191,0.13458,26.94295,take_profit
