time,open,high,low,close,tick_volume,spread,real_volume
2023-05-31 19:30:00,139.808,139.82,139.744,139.798,1453,0,0
2023-05-31 19:45:00,139.798,139.804,139.722,139.728,974,0,0
2023-05-31 20:00:00,139.728,139.738,139.684,139.708,953,0,0
2023-05-31 20:15:00,139.709,139.777,139.574,139.628,1505,2,0
2023-05-31 20:30:00,139.628,139.637,139.398,139.401,1778,2,0
2023-05-31 20:45:00,139.399,139.476,139.36,139.409,1627,2,0
2023-05-31 21:00:00,139.409,139.421,139.272,139.345,1543,2,0
2023-05-31 21:15:00,139.345,139.357,139.25,139.284,1356,2,0
2023-05-31 21:30:00,139.287,139.324,139.233,139.245,904,2,0
2023-05-31 21:45:00,139.247,139.363,139.244,139.294,1185,2,0
2023-05-31 22:00:00,139.294,139.342,139.288,139.314,1086,2,0
2023-05-31 22:15:00,139.315,139.397,139.314,139.353,735,2,0
2023-05-31 22:30:00,139.353,139.363,139.295,139.326,954,2,0
2023-05-31 22:45:00,139.327,139.35,139.255,139.346,1392,2,0
2023-05-31 23:00:00,139.349,139.352,139.295,139.302,919,2,0
2023-05-31 23:15:00,139.3,139.345,139.283,139.331,692,3,0
2023-05-31 23:30:00,139.33,139.382,139.326,139.355,533,3,0
2023-05-31 23:45:00,139.354,139.376,139.304,139.307,387,3,0
2023-06-01 00:00:00,139.328,139.328,139.273,139.296,41,32,0
2023-06-01 00:15:00,139.297,139.312,139.239,139.296,107,25,0
2023-06-01 00:30:00,139.309,139.315,139.274,139.292,160,16,0
2023-06-01 00:45:00,139.292,139.326,139.28,139.314,193,20,0
2023-06-01 01:00:00,139.316,139.357,139.229,139.254,697,11,0
2023-06-01 01:15:00,139.251,139.276,139.171,139.25,882,3,0
2023-06-01 01:30:00,139.242,139.263,139.212,139.232,391,9,0
2023-06-01 01:45:00,139.233,139.234,139.143,139.191,478,3,0
2023-06-01 02:00:00,139.193,139.207,139.051,139.066,778,2,0
2023-06-01 02:15:00,139.066,139.074,138.995,138.999,625,2,0
2023-06-01 02:30:00,138.999,139.066,138.955,139.024,739,2,0
2023-06-01 02:45:00,139.024,139.138,139.024,139.135,679,2,0
2023-06-01 03:00:00,139.134,139.242,139.078,139.233,1341,2,0
2023-06-01 03:15:00,139.231,139.262,139.181,139.24,783,2,0
2023-06-01 03:30:00,139.24,139.338,139.24,139.292,760,2,0
2023-06-01 03:45:00,139.292,139.293,139.115,139.191,1100,2,0
2023-06-01 04:00:00,139.191,139.257,139.172,139.21,706,2,0
2023-06-01 04:15:00,139.21,139.338,139.116,139.333,1058,2,0
2023-06-01 04:30:00,139.332,139.471,139.298,139.393,1452,2,0
2023-06-01 04:45:00,139.393,139.444,139.322,139.379,1859,2,0
2023-06-01 05:00:00,139.38,139.444,139.372,139.386,1264,2,0
2023-06-01 05:15:00,139.383,139.463,139.344,139.455,990,2,0
2023-06-01 05:30:00,139.457,139.542,139.439,139.478,980,2,0
2023-06-01 05:45:00,139.481,139.482,139.422,139.448,677,2,0
2023-06-01 06:00:00,139.448,139.474,139.403,139.443,538,2,0
2023-06-01 06:15:00,139.443,139.499,139.432,139.478,421,2,0
2023-06-01 06:30:00,139.48,139.545,139.473,139.532,527,2,0
2023-06-01 06:45:00,139.529,139.551,139.5,139.5,410,2,0
2023-06-01 07:00:00,139.501,139.525,139.487,139.512,701,0,0
2023-06-01 07:15:00,139.514,139.515,139.427,139.441,793,0,0
2023-06-01 07:30:00,139.441,139.472,139.411,139.452,653,0,0
2023-06-01 07:45:00,139.452,139.453,139.406,139.413,714,0,0
2023-06-01 08:00:00,139.413,139.485,139.412,139.481,803,0,0
2023-06-01 08:15:00,139.482,139.541,139.471,139.53,681,0,0
2023-06-01 08:30:00,139.524,139.678,139.518,139.655,1150,0,0
2023-06-01 08:45:00,139.654,139.716,139.614,139.709,1059,0,0
2023-06-01 09:00:00,139.709,139.71,139.621,139.695,1629,0,0
2023-06-01 09:15:00,139.694,139.773,139.666,139.685,1052,0,0
2023-06-01 09:30:00,139.685,139.746,139.631,139.698,881,0,0
2023-06-01 09:45:00,139.698,139.767,139.678,139.706,1094,0,0
2023-06-01 10:00:00,139.706,139.835,139.635,139.79,1969,0,0
2023-06-01 10:15:00,139.791,139.89,139.752,139.877,1691,0,0
2023-06-01 10:30:00,139.877,139.944,139.829,139.931,1473,0,0
2023-06-01 10:45:00,139.931,139.95,139.906,139.913,1034,0,0
2023-06-01 11:00:00,139.914,139.947,139.801,139.857,1314,0,0
2023-06-01 11:15:00,139.856,139.889,139.807,139.867,992,0,0
2023-06-01 11:30:00,139.867,139.928,139.857,139.874,978,0,0
2023-06-01 11:45:00,139.875,139.896,139.766,139.792,1178,0,0
2023-06-01 12:00:00,139.792,139.885,139.776,139.867,1182,0,0
2023-06-01 12:15:00,139.867,139.888,139.83,139.862,998,0,0
2023-06-01 12:30:00,139.862,139.865,139.794,139.839,1031,0,0
2023-06-01 12:45:00,139.84,139.869,139.733,139.764,1203,0,0
2023-06-01 13:00:00,139.763,139.792,139.709,139.788,1119,0,0
2023-06-01 13:15:00,139.794,139.797,139.702,139.745,1077,0,0
2023-06-01 13:30:00,139.745,139.745,139.575,139.588,1160,0,0
2023-06-01 13:45:00,139.588,139.625,139.538,139.539,1345,0,0
2023-06-01 14:00:00,139.539,139.557,139.428,139.445,1024,0,0
2023-06-01 14:15:00,139.444,139.513,139.402,139.457,1479,0,0
2023-06-01 14:30:00,139.457,139.542,139.452,139.463,1493,0,0
2023-06-01 14:45:00,139.461,139.485,139.338,139.388,1334,0,0
2023-06-01 15:00:00,139.388,139.584,139.36,139.57,1411,0,0
2023-06-01 15:15:00,139.57,139.885,139.451,139.655,2800,0,0
2023-06-01 15:30:00,139.646,139.695,139.201,139.307,3207,0,0
2023-06-01 15:45:00,139.307,139.307,139.108,139.117,2435,0,0
2023-06-01 16:00:00,139.116,139.159,139.009,139.094,1944,0,0
2023-06-01 16:15:00,139.094,139.178,139.057,139.117,1252,0,0
2023-06-01 16:30:00,139.118,139.138,138.856,138.961,2844,0,0
2023-06-01 16:45:00,138.955,139.027,138.816,138.884,2182,0,0
2023-06-01 17:00:00,138.657,138.976,138.433,138.934,3853,0,0
2023-06-01 17:15:00,138.935,138.975,138.768,138.87,2499,0,0
2023-06-01 17:30:00,138.865,139.001,138.813,138.985,2354,0,0
2023-06-01 17:45:00,138.986,139.067,138.927,138.933,2252,0,0
2023-06-01 18:00:00,138.933,138.976,138.778,138.858,1767,0,0
2023-06-01 18:15:00,138.859,138.919,138.829,138.863,1467,0,0
2023-06-01 18:30:00,138.864,138.866,138.677,138.734,1616,0,0
2023-06-01 18:45:00,138.736,138.766,138.703,138.745,1417,0,0
2023-06-01 19:00:00,138.744,138.8,138.706,138.771,1178,0,0
2023-06-01 19:15:00,138.77,138.848,138.762,138.831,1021,0,0
2023-06-01 19:30:00,138.832,138.848,138.803,138.811,1013,0,0
2023-06-01 19:45:00,138.81,138.837,138.752,138.79,879,0,0
2023-06-01 20:00:00,138.794,138.835,138.775,138.818,721,2,0
2023-06-01 20:15:00,138.818,138.831,138.747,138.779,656,2,0
2023-06-01 20:30:00,138.78,138.812,138.777,138.801,455,2,0
2023-06-01 20:45:00,138.801,138.831,138.797,138.822,396,2,0
2023-06-01 21:00:00,138.822,138.822,138.767,138.77,541,2,0
2023-06-01 21:15:00,138.77,138.81,138.759,138.771,616,2,0
2023-06-01 21:30:00,138.771,138.775,138.71,138.754,505,2,0
2023-06-01 21:45:00,138.75,138.867,138.741,138.844,789,2,0
2023-06-01 22:00:00,138.844,138.864,138.809,138.859,602,2,0
2023-06-01 22:15:00,138.859,138.863,138.776,138.784,565,2,0
2023-06-01 22:30:00,138.785,138.825,138.772,138.815,529,2,0
2023-06-01 22:45:00,138.815,138.843,138.756,138.797,563,2,0
2023-06-01 23:00:00,138.796,138.818,138.779,138.813,414,3,0
2023-06-01 23:15:00,138.815,138.826,138.777,138.781,314,3,0
